Group,ID,Day,Size
1,101,0,41.8
1,102,0,79.4
1,102,15,809.7
1,103,0,44.8
1,103,15,2405.7
1,104,0,67.7
1,104,15,1839.6
1,105,0,54.7
1,106,0,60
1,106,15,1086.6
1,107,0,46.8
1,108,0,49.4
2,201,0,49.1
2,202,0,60.6
2,202,15,907.9
2,203,0,41.5
2,203,15,416
2,204,0,46.8
2,204,15,1374.1
2,205,0,39.5
2,206,0,53.5
2,206,15,315.4
2,207,0,43.5
2,207,15,102.6
2,208,0,64.4
2,208,15,1194.7
2,209,0,47.5
2,209,15,621.6
2,210,0,71.7
3,301,0,44.1
3,302,0,42.1
3,303,0,42.5
3,304,0,56.9
3,305,0,46.7
3,305,15,519.8
3,306,0,51.2
3,306,15,1254.5
3,307,0,44
3,308,0,59.8
3,309,0,40.7
3,310,0,58.2
3,310,15,1748.5
4,401,0,41.3
4,401,15,832.3
4,402,0,53.5
4,403,0,45.8
4,403,15,811.3
4,404,0,48.2
4,404,15,467.4
4,405,0,47.7
4,406,0,69.2
4,406,15,1144.6
4,407,0,43.9
4,407,15,402.6
4,408,0,59.3
4,408,15,208.4
4,409,0,51.1
